route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
3,2,107,"NEW YORK PENN STATION",0,"6274",107
3,7,108,"MSU",1,"6201",108
3,4,109,"MSU",1,"9225",109
3,4,110,"MSU",1,"9227",110
3,4,111,"MSU",1,"9229",111
3,3,112,"BAY STREET",1,"0509",112
3,1,113,"BAY STREET",1,"0513",113
3,1,114,"BAY STREET",1,"0515",114
3,1,115,"BAY STREET",1,"0519",115
3,1,116,"BAY STREET",1,"0523",116
3,1,117,"BAY STREET",1,"0527",117
3,1,118,"BAY STREET",1,"0531",118
3,1,119,"BAY STREET",1,"0535",119
3,1,120,"BAY STREET",1,"0539",120
3,1,121,"BAY STREET",1,"0545",121
3,7,122,"MSU",1,"6299",122
3,2,123,"MSU",1,"6273",123
3,2,124,"MSU",1,"6263",124
3,2,125,"MSU",1,"6213",125
3,2,126,"MSU",1,"0267",126
3,2,127,"MSU",1,"0275",127
3,2,128,"MSU",1,"6279",128
3,2,129,"MSU",1,"6215",129
3,2,130,"MSU",1,"6227",130
3,2,131,"MSU",1,"6297",131
3,2,132,"MSU",1,"6219",132
3,2,133,"MSU",1,"6233",133
3,2,134,"MSU",1,"6237",134
3,2,135,"MSU",1,"6241",135
3,2,136,"MSU",1,"6245",136
3,2,137,"MSU",1,"6251",137
3,2,138,"MSU",1,"6253",138
3,2,139,"MSU",1,"6283",139
3,2,140,"MSU",1,"6291",140
3,2,141,"MSU",1,"6293",141
3,2,142,"MSU",1,"6295",142
